,0,3,5,10,15,20,0,3,5,10,15,20
0,3153. 8 ,1122. 9 ,698. 4    ,379. 6,287. 2,246. 2,3161. 1 ,1125. 2 ,699. 7    ,380. 2,287. 4,246. 2
1,3166. 9 ,1127. 7 ,701. 5    ,381. 4,288. 6,247. 5,3174. 5 ,1130. 1 ,702. 8    ,381. 9,288. 8,247. 5
2,3180. 7 ,1132. 8 ,704. 7    ,383. 2,290. 1,248. 9,3188. 6 ,1135. 2 ,706. 0    ,383. 8,290. 3,248. 9
3,3195. 1 ,1138. 1 ,708. 0    ,385. 1,291. 7,250. 4,3203. 3 ,1140. 6 ,709. 5    ,385. 7,291. 9,250. 3
4,3210. 2 ,1143. 7 ,711. 5    ,387. 1,293. 3,251. 9,3218. 7 ,1146. 3 ,713. 1    ,387. 7,293. 5,251. 8
5,3226. 0 ,1149. 5 ,715. 2    ,389. 2,295. 0,253. 5,3234. 8 ,1152. 2 ,716. 8    ,389. 9,295. 3,253. 5
6,3242. 6 ,1155. 6 ,719. 1    ,391. 4,296. 8,255. 2,3251. 7 ,1158. 4 ,720. 7    ,392. 1,297. 1,255. 1
7,3259. 9 ,1162. 0 ,723. 2    ,393. 7,298. 7,257. 0,3269. 3 ,1164. 9 ,724. 8    ,394. 5,299. 0,256. 9
8,3278. 0 ,1168. 7 ,727. 4    ,396. 2,300. 7,258. 8,3287. 8 ,1171. 7 ,729. 2    ,396. 9,301. 0,258. 8
9,3297. 0 ,1175. 7 ,731. 9    ,398. 7,302. 8,260. 8,3307. 1 ,1178. 8 ,733. 7    ,399. 5,303. 1,260. 7
10,3316. 8 ,1183. 0 ,736. 5    ,401. 4,304. 9,262. 8,3327. 4 ,1186. 3 ,738. 4    ,402. 2,305. 2,262. 8
11,3337. 6 ,1190. 7 ,741. 4    ,404. 2,307. 2,264. 9,3348. 5 ,1194. 1 ,743. 3    ,405. 0,307. 5,264. 9
12,3359. 3 ,1198. 7 ,746. 5    ,407. 1,309. 6,267. 2,3370. 7 ,1202. 3 ,748. 5    ,407. 9,310. 0,267. 1
13,3382. 1 ,1207. 1 ,751. 9    ,410. 2,312. 1,269. 6,3393. 9 ,1210. 8 ,754. 0    ,411. 0,312. 5,269. 5
14,3406. 0 ,1216. 0 ,757. 5    ,413. 4,314. 8,272. 0,3418. 2 ,1219. 8 ,759. 6    ,414. 3,315. 1,272. 0
15,3431. 0 ,1225. 3 ,763. 4    ,416. 7,317. 5,274. 7,3443. 6 ,1229. 2 ,765. 6    ,417. 7,317. 9,274. 6
16,3457. 2 ,1235. 0 ,769. 5    ,420. 3,320. 5,277. 4,3470. 3 ,1239. 0 ,771. 9    ,421. 3,320. 9,277. 4
17,3484. 7 ,1245. 2 ,776. 0    ,424. 0,323. 5,280. 3,3498. 3 ,1249. 4 ,778. 4    ,425. 0,324. 0,280. 3
18,3513. 6 ,1255. 8 ,782. 8    ,427. 9,326. 7,283. 4,3527. 6 ,1260. 2 ,785. 3    ,429. 0,327. 2,283. 4
19,3543. 8 ,1267. 1 ,789. 9    ,432. 0,330. 1,286. 7,3558. 4 ,1271. 6 ,792. 6    ,433. 1,330. 6,286. 7
20,3575. 5 ,1278. 8 ,797. 4    ,436. 3,333. 7,290. 2,3590. 6 ,1283. 6 ,800. 2    ,437. 5,334. 2,290. 1
21,3608. 8 ,1291. 2 ,805. 3    ,440. 8,337. 4,293. 8,3624. 5 ,1296. 1 ,808. 1    ,442. 0,338. 0,293. 8
22,3643. 8 ,1304. 2 ,813. 6    ,445. 6,341. 4,297. 7,3660. 1 ,1309. 3 ,816. 5    ,446. 9,342. 0,297. 6
23,3680. 5 ,1317. 8 ,822. 3    ,450. 6,345. 6,301. 8,3697. 5 ,1323. 2 ,825. 4    ,451. 9,346. 2,301. 7
24,3719. 1 ,1332. 2 ,831. 4    ,455. 9,350. 0,306. 2,3736. 7 ,1337. 7 ,834. 6    ,457. 3,350. 6,306. 1
25,3759. 8 ,1347. 3 ,841. 1    ,461. 4,354. 6,310. 9,3778. 1 ,1353. 1 ,844. 4    ,462. 9,355. 3,310. 7
26,3802. 6 ,1363. 3 ,851. 3    ,467. 3,359. 6,315. 8,3821. 6 ,1369. 3 ,854. 7    ,468. 9,360. 3,315. 6
27,3847. 6 ,1380. 1 ,862. 0    ,473. 6,364. 8,321. 1,3867. 3 ,1386. 3 ,865. 6    ,475. 2,365. 5,320. 9
28,3895. 1 ,1397. 8 ,873. 3    ,480. 1,370. 3,326. 7,3915. 5 ,1404. 3 ,877. 1    ,481. 8,371. 1,326. 4
29,3945. 1 ,1416. 5 ,885. 3    ,487. 1,376. 3,332. 8,3966. 4 ,1423. 2 ,889. 2    ,488. 8,377. 1,332. 3
30,3997. 9 ,1436. 3 ,897. 9    ,494. 4,382. 7,339. 2,4020. 0 ,1443. 3 ,902. 0    ,496. 2,383. 5,338. 6
31,4053. 7 ,1457. 1 ,911. 3    ,502. 2,389. 5,346. 1,4076. 5 ,1464. 4 ,915. 5    ,504. 1,390. 3,345. 4
32,4112. 6 ,1479. 2 ,925. 4    ,510. 5,396. 8,353. 5,4136. 3 ,1486. 8 ,929. 8    ,512. 4,397. 5,352. 7
33,4174. 8 ,1502. 6 ,940. 4    ,519. 2,404. 6,361. 4,4199. 4 ,1510. 4 ,945. 0    ,521. 3,405. 3,360. 4
34,4240. 6 ,1527. 4 ,956. 3    ,528. 5,412. 9,369. 9,4266. 2 ,1535. 5 ,961. 0    ,530. 7,413. 5,368. 7
35,4310. 4 ,1553. 6 ,973. 2    ,538. 4,421. 9,379. 1,4336. 9 ,1562. 1 ,978. 0    ,540. 7,422. 4,377. 7
36,4384. 3 ,1581. 5 ,991. 0    ,549. 0,431. 6,389. 0,4411. 7 ,1590. 3 ,996. 2    ,551. 3,431. 9,387. 4
37,4462. 6 ,1611. 1 ,1010. 1 ,560. 4,442. 0,399. 7,4491. 1 ,1620. 2 ,1015. 4 ,562. 8,442. 1,397. 8
38,4545. 9 ,1642. 6 ,1030. 4 ,572. 7,453. 2,411. 3,4575. 4 ,1652. 0 ,1035. 9 ,575. 1,453. 1,409. 1
39,4634. 2 ,1676. 1 ,1052. 0 ,586. 0,465. 2,423. 9,4665. 0 ,1685. 9 ,1057. 7 ,588. 4,465. 0,421. 3
