;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
____ ____ ;(____)_ ;;;;;(____)_ ;;;;
;;;;;;;;;;
;0;5;10;15;20;0;5;10;15;20
;;;;;;;;;;
0;100.7;22.5;12.2;8.8;7.2;88.8;19.8;10.8;7.7;6.3
;;;;;;;;;;
1;103.6;23.1;12.6;9.1;7.4;91;20.3;11;7.9;6.5
;;;;;;;;;;
2;106.6;23.8;12.9;9.4;7.6;93.5;20.9;11.4;8.2;6.6
;;;;;;;;;;
3;109.9;24.5;13.4;9.6;7.8;96.1;21.4;11.7;8.4;6.8
;;;;;;;;;;
4;113.4;25.2;13.7;9.9;8.1;99;22.1;12;8.7;7
;;;;;;;;;;
5;116.9;26.1;14.1;10.3;8.3;102.1;22.8;12.4;8.9;7.3
;;;;;;;;;;
6;120.6;26.9;14.6;10.6;8.6;105.4;23.5;12.8;9.2;7.5
;;;;;;;;;;
7;124.4;27.7;15.1;10.9;8.9;108.7;24.3;13.2;9.5;7.7
;;;;;;;;;;
8;128.5;28.7;15.5;11.3;9.1;112.2;25;13.6;9.8;8
;;;;;;;;;;
9;132.6;29.6;16.1;11.6;9.5;115.8;25.8;14;10.1;8.3
;;;;;;;;;;
10;137;30.6;16.6;12;9.7;119.6;26.7;14.5;10.4;8.5
;;;;;;;;;;
11;141.5;31.5;17.2;12.4;10.1;123.4;27.5;15;10.8;8.8
;;;;;;;;;;
12;146.1;32.6;17.7;12.9;10.4;127.3;28.4;15.5;11.2;9.1
;;;;;;;;;;
13;150.9;33.6;18.4;13.3;10.8;131.4;29.3;15.9;11.5;9.4
;;;;;;;;;;
14;156;34.8;18.9;13.6;11.2;135.7;30.2;16.4;11.9;9.6
;;;;;;;;;;
15;161.2;36;19.6;14.1;11.5;139.9;31.2;16.9;12.3;10
;;;;;;;;;;
16;166.5;37.1;20.2;14.6;11.9;144.4;32.2;17.5;12.7;10.3
;;;;;;;;;;
17;172;38.4;20.9;15.1;12.3;149;33.2;18.1;13.1;10.6
;;;;;;;;;;
18;177.7;39.7;21.6;15.7;12.8;153.8;34.3;18.7;13.5;11
;;;;;;;;;;
19;183.6;41;22.3;16.1;13.2;158.7;35.4;19.3;13.9;11.3
;;;;;;;;;;
20;189.7;42.3;23.1;16.7;13.6;163.8;36.5;19.9;14.4;11.8
;;;;;;;;;;
21;195.9;43.8;23.8;17.2;14.1;169;37.7;20.6;14.9;12.1
;;;;;;;;;;
22;202.4;45.2;24.7;17.9;14.6;174.4;39;21.2;15.3;12.5
;;;;;;;;;;
23;209.1;46.7;25.4;18.5;15;180;40.2;21.9;15.9;12.9
;;;;;;;;;;
24;215.9;48.3;26.3;19.1;15.6;185.7;41.4;22.6;16.4;13.4
;;;;;;;;;;
25;223;49.8;27.2;19.8;16.1;191.6;42.8;23.4;17;13.9
;;;;;;;;;;
26;230.3;51.5;28.1;20.4;16.7;197.6;44.2;24.1;17.5;14.3
;;;;;;;;;;
27;237.7;53.2;29.1;21.1;17.3;203.9;45.5;24.9;18.1;14.8
;;;;;;;;;;
28;245.4;54.8;30;21.8;17.9;210.3;47;25.7;18.6;15.3
;;;;;;;;;;
29;253.3;56.7;31;22.5;18.5;216.9;48.4;26.5;19.3;15.9
;;;;;;;;;;
30;261.4;58.4;32;23.3;19.2;223.5;50;27.4;19.9;16.4
;;;;;;;;;;
31;269.8;60.4;33;24.1;19.9;230.4;51.6;28.3;20.6;17
;;;;;;;;;;
32;278.4;62.3;34.1;24.9;20.6;237.3;53.1;29.1;21.3;17.6
;;;;;;;;;;
33;287.3;64.3;35.3;25.8;21.3;244.5;54.7;30.1;22;18.2
;;;;;;;;;;
34;296.4;66.5;36.5;26.7;22.2;251.8;56.5;31;22.7;18.7
;;;;;;;;;;
35;305.8;68.6;37.7;27.7;23;259.1;58.1;32;23.5;19.4
;;;;;;;;;;
36;315.4;70.8;39;28.7;24;266.7;59.9;33;24.2;20.1
;;;;;;;;;;
37;325.3;73.1;40.3;29.7;24.9;274.3;61.6;34;25;20.8
;;;;;;;;;;
38;335.3;75.4;41.7;30.8;25.9;282;63.4;35;25.8;21.5
;;;;;;;;;;
39;345.5;77.8;43.1;32;27;289.8;65.3;36;26.6;22.2
;;;;;;;;;;
40;355.9;80.2;44.5;33.1;28;297.7;67.1;37.2;27.5;23
;;;;;;;;;;
41;366.3;82.8;46;34.4;29.3;305.6;69;38.3;28.3;23.8
;;;;;;;;;;
42;377;85.3;47.6;35.8;30.6;313.7;70.8;39.4;29.3;24.6
;;;;;;;;;;
43;387.7;87.8;49.3;37.1;31.9;321.6;72.8;40.6;30.2;25.4
;;;;;;;;;;
44;398.5;90.5;50.9;38.5;33.3;329.7;74.7;41.7;31.1;26.3
;;;;;;;;;;
45;409.3;93.2;52.6;40.1;34.8;337.7;76.6;42.8;32.1;27.2
;;;;;;;;;;
46;420;96;54.5;41.7;;345.8;78.6;44.1;33;
;;;;;;;;;;
47;430.8;98.7;56.2;43.2;;353.9;80.5;45.2;34;
;;;;;;;;;;
48;441.4;101.5;58.2;45;;361.9;82.5;46.5;35;
;;;;;;;;;;
49;452;104.3;60;46.7;;370;84.5;47.7;36.1;
;;;;;;;;;;
50;462.4;107.1;62;48.5;;378.1;86.5;49;37.2;
;;;;;;;;;;
51;472.5;109.9;64;;;386.3;88.5;50.3;;
;;;;;;;;;;
52;482.6;112.6;66;;;394.5;90.6;51.6;;
;;;;;;;;;;
53;492.4;115.5;68.1;;;402.8;92.7;53.1;;
;;;;;;;;;;
54;502.1;118.2;70.2;;;411.1;94.9;54.6;;
;;;;;;;;;;
55;511.4;121;72.4;;;419.4;97.1;56.2;;
;;;;;;;;;;
