____ ____ ;(____)_ ;;;;;(____)_ ;;;;
;;;;;;;;;;
;1;5;10;15;20;1;5;10;15;20
;;;;;;;;;;
0;31.2;7;3.9;2.8;2.3;29.1;6.6;3.6;2.7;2.2
;;;;;;;;;;
1;32.3;7.3;4;2.9;2.4;30.2;6.8;3.8;2.8;2.3
;;;;;;;;;;
2;33.5;7.6;4.2;3;2.5;31.3;7.1;3.9;2.9;2.4
;;;;;;;;;;
3;34.7;7.9;4.3;3.2;2.6;32.6;7.4;4.1;3;2.5
;;;;;;;;;;
4;36;8.2;4.5;3.3;2.7;33.9;7.7;4.3;3.1;2.6
;;;;;;;;;;
5;37.5;8.5;4.7;3.4;2.8;35.3;8;4.4;3.3;2.7
;;;;;;;;;;
6;38.9;8.8;4.9;3.5;2.9;36.7;8.4;4.6;3.4;2.8
;;;;;;;;;;
7;40.5;9.2;5;3.7;3;38.3;8.7;4.8;3.6;3
;;;;;;;;;;
8;42.1;9.5;5.3;3.8;3.2;39.9;9.1;5;3.7;3.1
;;;;;;;;;;
9;43.8;9.9;5.5;4;3.3;41.6;9.5;5.3;3.9;3.2
;;;;;;;;;;
10;45.5;10.3;5.7;4.2;3.5;43.3;9.9;5.5;4.1;3.4
;;;;;;;;;;
11;47.3;10.8;5.9;4.4;3.6;45.2;10.4;5.7;4.3;3.5
;;;;;;;;;;
12;49.3;11.2;6.2;4.5;3.8;47.2;10.8;6;4.4;3.7
;;;;;;;;;;
13;51.3;11.7;6.4;4.7;3.9;49.2;11.3;6.3;4.7;3.9
;;;;;;;;;;
14;53.3;12.1;6.7;5;4.1;51.3;11.8;6.6;4.9;4.1
;;;;;;;;;;
15;55.5;12.6;7;5.2;4.3;53.6;12.3;6.9;5.1;4.3
;;;;;;;;;;
16;57.8;13.2;7.3;5.4;4.5;56;12.9;7.2;5.3;4.5
;;;;;;;;;;
17;60.2;13.7;7.6;5.7;4.7;58.4;13.5;7.5;5.6;4.7
;;;;;;;;;;
18;62.6;14.3;8;5.9;4.9;61;14.1;7.9;5.9;4.9
;;;;;;;;;;
19;64.9;14.9;8.3;6.2;5.1;63.6;14.7;8.2;6.2;5.2
;;;;;;;;;;
20;67.2;15.5;8.6;6.4;5.4;66.3;15.4;8.6;6.4;5.4
;;;;;;;;;;
21;69.7;16;9;6.7;5.6;69.2;16;9;6.7;5.7
;;;;;;;;;;
22;72.2;16.6;9.3;6.9;5.8;72.2;16.7;9.4;7.1;6
;;;;;;;;;;
23;74.8;17.3;9.7;7.2;6.1;75.3;17.5;9.9;7.4;6.3
;;;;;;;;;;
24;77.6;17.9;10.1;7.5;6.3;78.7;18.3;10.3;7.8;6.6
;;;;;;;;;;
25;80.5;18.6;10.5;7.8;6.6;82.2;19.1;10.8;8.1;6.9
;;;;;;;;;;
26;83.5;19.3;10.9;8.2;6.9;85.9;20;11.3;8.6;7.3
;;;;;;;;;;
27;86.8;20.1;11.3;8.5;7.2;89.8;21;11.9;9;7.7
;;;;;;;;;;
28;90.2;21;11.8;8.9;7.5;93.9;22;12.5;9.5;8.1
;;;;;;;;;;
29;93.8;21.8;12.3;9.3;7.9;98.3;23.1;13.1;10;8.5
;;;;;;;;;;
30;97.6;22.8;12.9;9.7;8.3;103;24.2;13.8;10.5;9
;;;;;;;;;;
31;101.6;23.7;13.5;10.2;8.7;107.9;25.4;14.5;11.1;9.5
;;;;;;;;;;
32;105.9;24.8;14.1;10.7;9.2;113.2;26.7;15.3;11.7;10.1
;;;;;;;;;;
33;110.4;25.9;14.7;11.2;9.7;118.7;28.1;16.1;12.3;10.7
;;;;;;;;;;
34;115.1;27;15.4;11.8;10.2;124.5;29.5;17;13.1;11.4
;;;;;;;;;;
35;120.1;28.3;16.2;12.4;10.8;130.8;31.1;17.9;13.8;12.1
;;;;;;;;;;
36;125.3;29.6;17;13.1;11.4;137.4;32.7;18.9;14.7;12.8
;;;;;;;;;;
37;130.9;31;17.9;13.8;12.1;144.4;34.5;20;15.5;13.7
;;;;;;;;;;
38;136.8;32.5;18.8;14.6;12.9;151.9;36.4;21.2;16.5;14.6
;;;;;;;;;;
39;143.1;34.1;19.8;15.4;13.7;159.9;38.4;22.5;17.6;15.6
;;;;;;;;;;
40;149.8;35.8;20.9;16.4;14.7;168.4;40.6;23.8;18.7;16.7
;;;;;;;;;;
41;157;37.6;22.1;17.4;15.7;177.5;42.9;25.3;20;17.9
;;;;;;;;;;
42;164.6;39.6;23.4;18.5;16.8;187.2;45.5;26.9;21.3;19.2
;;;;;;;;;;
43;172.7;41.8;24.7;19.8;18.1;197.7;48.2;28.6;22.8;20.7
;;;;;;;;;;
44;181.4;44.1;26.3;21.2;19.6;208.8;51.1;30.5;24.4;22.3
;;;;;;;;;;
45;190.8;46.6;28;22.7;21.2;220.9;54.3;32.6;26.2;24.2
;;;;;;;;;;
46;200.9;49.3;29.8;24.4;;233.8;57.7;34.8;28.2;
;;;;;;;;;;
47;211.7;52.3;31.9;26.4;;247.7;61.5;37.3;30.4;
;;;;;;;;;;
48;223.4;55.5;34.1;28.5;;262.8;65.5;39.9;32.9;
;;;;;;;;;;
49;236;59.1;36.7;31;;279;69.9;42.9;35.6;
;;;;;;;;;;
50;249.7;63;39.5;33.8;;296.6;74.7;46.2;38.7;
;;;;;;;;;;
51;264.6;67.2;42.6;;;315.8;80.1;49.9;;
;;;;;;;;;;
52;280.8;72;46.1;;;336.6;85.9;54;;
;;;;;;;;;;
53;298.5;77.2;50.1;;;359.3;92.4;58.6;;
;;;;;;;;;;
54;317.9;83.1;54.7;;;384.3;99.5;63.9;;
;;;;;;;;;;
55;339.4;89.7;59.9;;;411.6;107.6;69.9;;
