±ó,1,1,1,1,1,2,2,2,2,2
  ,3,5,10,20,30,3,5,10,20,30
0,12.56,7.82,4.18,2.43,1.86,11.48,7.14,3.82,2.23,1.7
1,13.15,8.19,4.38,2.55,1.95,12.07,7.51,4.02,2.34,1.79
2,13.78,8.58,4.59,2.67,2.04,12.69,7.91,4.23,2.47,1.89
3,14.44,9,4.81,2.8,2.14,13.35,8.32,4.45,2.6,1.99
4,15.14,9.43,5.04,2.94,2.25,14.05,8.75,4.69,2.73,2.1
5,15.88,9.89,5.29,3.08,2.36,14.78,9.21,4.93,2.88,2.21
6,16.65,10.37,5.55,3.23,2.48,15.55,9.69,5.19,3.03,2.32
7,17.46,10.88,5.81,3.39,2.6,16.36,10.19,5.46,3.19,2.45
8,18.31,11.4,6.1,3.56,2.73,17.21,10.72,5.74,3.36,2.58
9,19.19,11.95,6.39,3.73,2.87,18.09,11.28,6.04,3.53,2.71
10,20.12,12.53,6.7,3.92,3.01,19.03,11.86,6.35,3.72,2.86
11,21.09,13.14,7.02,4.11,3.16,20,12.47,6.68,3.91,3.01
12,22.11,13.77,7.37,4.32,3.32,21.02,13.1,7.02,4.11,3.16
13,23.17,14.43,7.72,4.53,3.49,22.09,13.77,7.38,4.33,3.33
14,24.28,15.12,8.1,4.75,3.66,23.21,14.46,7.76,4.55,3.5
15,25.44,15.85,8.5,4.99,3.85,24.38,15.2,8.15,4.78,3.69
16,26.65,16.61,8.92,5.24,4.04,25.6,15.96,8.57,5.03,3.88
17,27.93,17.42,9.36,5.5,4.25,26.89,16.77,9,5.29,4.08
18,29.3,18.28,9.82,5.78,4.47,28.25,17.62,9.46,5.56,4.3
19,30.53,19.05,10.24,6.03,4.66,29.57,18.45,9.91,5.82,4.5
20,31.81,19.85,10.67,6.28,4.87,30.95,19.31,10.37,6.1,4.72
21,33.13,20.67,11.11,6.55,5.08,32.39,20.21,10.85,6.39,4.95
22,34.5,21.53,11.58,6.82,5.3,33.89,21.14,11.36,6.69,5.19
23,35.93,22.42,12.06,7.11,5.54,35.45,22.12,11.89,7.01,5.44
24,37.41,23.35,12.56,7.42,5.78,37.08,23.14,12.44,7.34,5.71
25,38.97,24.33,13.09,7.73,6.04,38.79,24.2,13.01,7.68,5.99
26,40.59,25.34,13.64,8.07,6.32,40.57,25.32,13.61,8.05,6.28
27,42.29,26.4,14.21,8.42,6.61,42.43,26.48,14.25,8.43,6.59
28,44.07,27.52,14.82,8.79,6.92,44.38,27.7,14.91,8.83,6.91
29,45.93,28.68,15.45,9.17,7.24,46.41,28.97,15.6,9.25,7.26
30,47.87,29.89,16.11,9.58,7.59,48.54,30.3,16.32,9.7,7.62
31,49.89,31.16,16.8,10.01,7.96,50.75,31.69,17.08,10.16,8
32,51.99,32.48,17.52,10.46,8.35,53.07,33.14,17.87,10.65,8.4
33,54.17,33.85,18.27,10.94,8.76,55.48,34.66,18.7,11.16,8.83
34,56.44,35.27,19.05,11.44,9.2,58,36.24,19.57,11.7,9.27
35,58.8,36.76,19.87,11.97,9.66,60.63,37.89,20.47,12.27,9.74
36,61.26,38.3,20.73,12.52,,63.38,39.62,21.42,12.86,
37,63.82,39.92,21.63,13.11,,66.25,41.42,22.42,13.49,
38,66.48,41.6,22.56,13.73,,69.24,43.31,23.47,14.15,
39,69.25,43.34,23.55,14.39,,72.38,45.29,24.56,14.84,
40,72.13,45.17,24.58,15.08,,75.64,47.35,25.71,15.57,
41,75.13,47.07,25.66,15.82,,79.06,49.5,26.91,16.33,
42,78.25,49.06,26.79,16.6,,82.63,51.76,28.17,17.14,
43,81.52,51.14,27.99,17.43,,86.36,54.12,29.49,17.99,
44,84.95,53.33,29.25,18.32,,90.28,56.6,30.87,18.9,
45,88.54,55.63,30.58,19.26,,94.39,59.21,32.33,19.85,
46,92.32,58.05,32,,,98.69,61.94,33.87,,
47,96.29,60.6,33.5,,,103.21,64.8,35.48,,
48,100.46,63.29,35.09,,,107.93,67.8,37.17,,
49,104.85,66.13,36.78,,,112.87,70.93,38.95,,
50,109.46,69.12,38.57,,,118.02,74.21,40.81,,
51,114.33,72.28,,,,123.4,77.64,,,
52,119.49,75.64,,,,129.01,81.22,,,
53,124.95,79.21,,,,134.88,84.97,,,
54,130.77,83.01,,,,141,88.89,,,
55,136.95,87.08,,,,147.4,93,,,
