;A;B;C;D
0;1601;2046;2388;2542
;;;;
1;1352;1728;2016;2146
;;;;
2;1036;1323;1544;1645
;;;;
3;1040;1328;1549;1649
;;;;
4;860;1099;1281;1364
;;;;
5;658;841;981;1044
;;;;
6-10;340;434;508;540
;;;;
11-15;206;263;307;325
;;;;
16-20 ;179;229;268;285
;;;;
21-25 ;211;270;316;335
;;;;
26-30 ;329;420;490;523
;;;;
31-35 ;424;542;631;671
;;;;
36-40 ;526;673;783;835
;;;;
41-45 ;650;830;970;1033
;;;;
46-50 ;796;1016;1185;1262
;;;;
51-55 ;1058;1352;1576;1679
;;;;
56-60 ;1542;1970;2299;2446
;;;;
61-65 ;2029;2592;3023;3219
;;;;
66-69 ;3284;4198;4896;5214
;;;;
