;0;5;10
;;;
18;10669;2833;1806
;;;
19;10664;2832;1806
;;;
20;10660;2831;1805
;;;
21;10656;2830;1804
;;;
22;10678;2835;1806
;;;
23;10701;2841;1810
;;;
24;10725;2847;1814
;;;
25;10750;2854;1819
;;;
26;10775;2860;1823
;;;
27;10801;2868;1829
;;;
28;10828;2876;1834
;;;
29;10856;2884;1841
;;;
30;10885;2893;1847
;;;
31;10915;2903;1855
;;;
32;10987;2924;1869
;;;
33;11062;2946;1884
;;;
34;11141;2969;1900
;;;
35;11224;2993;1916
;;;
36;11310;3018;1933
;;;
37;11399;3044;1952
;;;
38;11491;3072;1971
;;;
39;11586;3100;1991
;;;
40;11684;3131;2013
;;;
41;11787;3162;2035
;;;
42;11902;3197;2060
;;;
43;12021;3234;2087
;;;
44;12145;3274;2115
;;;
45;12275;3315;2146
;;;
46;12411;3359;2179
;;;
47;12553;3406;2215
;;;
48;12703;3456;2254
;;;
49;12861;3511;2296
;;;
50;13028;3570;2342
;;;
51;13206;3635;
;;;
52;13407;3704;
;;;
53;13614;3778;
;;;
54;13831;3856;
;;;
55;14056;3939;
;;;
56;14290;;
;;;
57;14538;;
;;;
58;14800;;
;;;
59;15075;;
;;;
60;15366;;
