;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
____ ____ ;(____)_ ;;;;;(____)_ ;;;;
;;;;;;;;;;
;0;5;10;15;20;0;5;10;15;20
;;;;;;;;;;
0;100.7;22.5;12.2;8.9;7.2;88.8;19.8;10.8;7.8;6.3
;;;;;;;;;;
1;103.6;23.2;12.6;9.1;7.4;90.9;20.3;11;8;6.5
;;;;;;;;;;
2;106.7;23.8;13;9.4;7.6;93.5;20.8;11.3;8.2;6.6
;;;;;;;;;;
3;109.9;24.5;13.4;9.6;7.8;96.2;21.4;11.6;8.4;6.9
;;;;;;;;;;
4;113.4;25.3;13.8;9.9;8;99;22;12;8.7;7
;;;;;;;;;;
5;116.9;26;14.1;10.2;8.3;102.1;22.7;12.4;8.9;7.3
;;;;;;;;;;
6;120.6;26.9;14.6;10.5;8.6;105.4;23.4;12.8;9.2;7.5
;;;;;;;;;;
7;124.5;27.8;15.1;10.9;8.9;108.7;24.2;13.1;9.5;7.7
;;;;;;;;;;
8;128.5;28.6;15.6;11.3;9.1;112.2;25;13.6;9.8;8
;;;;;;;;;;
9;132.7;29.6;16;11.7;9.4;115.8;25.8;14;10.1;8.2
;;;;;;;;;;
10;137;30.5;16.7;12;9.7;119.6;26.7;14.5;10.5;8.5
;;;;;;;;;;
11;141.5;31.5;17.2;12.4;10;123.4;27.5;15;10.8;8.8
;;;;;;;;;;
12;146.1;32.6;17.7;12.8;10.4;127.3;28.4;15.5;11.1;9
;;;;;;;;;;
13;150.9;33.7;18.3;13.2;10.8;131.4;29.3;15.9;11.6;9.4
;;;;;;;;;;
14;155.9;34.8;18.9;13.7;11.2;135.6;30.3;16.5;11.9;9.7
;;;;;;;;;;
15;161.2;35.9;19.6;14.1;11.5;139.9;31.2;17;12.3;10
;;;;;;;;;;
16;166.5;37.1;20.3;14.6;11.9;144.4;32.2;17.6;12.7;10.3
;;;;;;;;;;
17;172;38.4;20.9;15.1;12.3;149;33.2;18.1;13.1;10.6
;;;;;;;;;;
18;177.8;39.6;21.6;15.6;12.7;153.7;34.3;18.7;13.5;11
;;;;;;;;;;
19;183.6;41;22.3;16.2;13.2;158.7;35.4;19.3;14;11.4
;;;;;;;;;;
20;189.7;42.3;23.1;16.8;13.6;163.7;36.6;19.9;14.4;11.7
;;;;;;;;;;
21;195.9;43.8;23.8;17.3;14.1;169;37.7;20.6;14.9;12.2
;;;;;;;;;;
22;202.4;45.2;24.6;17.9;14.6;174.4;38.9;21.2;15.4;12.6
;;;;;;;;;;
23;209.1;46.7;25.5;18.5;15.1;180;40.2;21.9;15.9;13
;;;;;;;;;;
24;216;48.2;26.3;19.1;15.6;185.7;41.4;22.6;16.4;13.4
;;;;;;;;;;
25;223;49.8;27.2;19.8;16.2;191.6;42.8;23.4;16.9;13.9
;;;;;;;;;;
26;230.2;51.4;28.1;20.4;16.7;197.6;44.2;24.1;17.5;14.4
;;;;;;;;;;
27;237.7;53.2;29;21.1;17.3;203.9;45.5;24.9;18.1;14.8
;;;;;;;;;;
28;245.4;54.9;30;21.8;17.9;210.3;47;25.7;18.7;15.4
;;;;;;;;;;
29;253.3;56.6;31;22.6;18.5;216.9;48.5;26.5;19.3;15.9
;;;;;;;;;;
30;261.4;58.5;32;23.3;19.2;223.5;50;27.3;20;16.5
;;;;;;;;;;
31;269.8;60.4;33;24.2;19.9;230.4;51.6;28.3;20.6;17
;;;;;;;;;;
32;278.5;62.4;34.2;25;20.6;237.4;53.1;29.1;21.3;17.6
;;;;;;;;;;
33;287.3;64.4;35.3;25.9;21.5;244.5;54.8;30.1;22.1;18.2
;;;;;;;;;;
34;296.4;66.4;36.5;26.7;22.2;251.8;56.5;31.1;22.8;18.8
;;;;;;;;;;
35;305.8;68.6;37.7;27.7;23.1;259.1;58.2;32;23.5;19.5
;;;;;;;;;;
36;315.4;70.8;39;28.8;24;266.6;59.9;33;24.3;20.2
;;;;;;;;;;
37;325.3;73;40.4;29.8;25;274.3;61.6;34.1;25.1;20.9
;;;;;;;;;;
38;335.2;75.5;41.8;30.9;26;282;63.4;35.1;25.9;21.6
;;;;;;;;;;
39;345.5;77.8;43.1;32.1;27.1;289.8;65.3;36.2;26.8;22.4
;;;;;;;;;;
40;355.9;80.3;44.6;33.3;28.3;297.7;67.1;37.2;27.6;23.2
;;;;;;;;;;
41;366.4;82.8;46.2;34.6;;305.6;69.1;38.4;28.5;
;;;;;;;;;;
42;377;85.4;47.8;36;;313.6;70.9;39.5;29.4;
;;;;;;;;;;
43;387.7;88;49.4;37.4;;321.7;72.8;40.7;30.4;
;;;;;;;;;;
44;398.5;90.6;51.2;38.9;;329.7;74.8;41.8;31.3;
;;;;;;;;;;
45;409.3;93.4;52.9;40.5;;337.7;76.8;43;32.4;
;;;;;;;;;;
46;420.1;96.1;;;;345.8;78.7;;;
;;;;;;;;;;
47;430.7;98.9;;;;353.8;80.7;;;
;;;;;;;;;;
48;441.4;101.8;;;;361.9;82.7;;;
;;;;;;;;;;
49;451.9;104.6;;;;370;84.7;;;
;;;;;;;;;;
50;462.3;107.5;;;;378.1;86.7;;;
;;;;;;;;;;
51;472.5;;;;;386.2;;;;
;;;;;;;;;;
52;482.6;;;;;394.5;;;;
;;;;;;;;;;
53;492.4;;;;;402.8;;;;
;;;;;;;;;;
54;502;;;;;411.1;;;;
;;;;;;;;;;
55;511.4;;;;;419.4;;;;
;;;;;;;;;;
