____ ____ ;(____)_ ;;;;;(____)_ ;;;;
;;;;;;;;;;
;3;5;10;15;20;3;5;10;15;20
;;;;;;;;;;
18;2.4;4.2;9.2;15;22.3;1.9;3.2;6.8;11.3;17.3
;;;;;;;;;;
19;2.6;4.6;10;16.2;24.1;2;3.4;7.3;12.2;18.8
;;;;;;;;;;
20;2.9;5;10.8;17.5;26;2.1;3.7;7.9;13.2;20.5
;;;;;;;;;;
21;3.2;5.4;11.6;18.8;28;2.3;3.9;8.5;14.4;22.4
;;;;;;;;;;
22;3.4;5.8;12.5;20.2;30.2;2.5;4.2;9.2;15.6;24.5
;;;;;;;;;;
23;3.7;6.3;13.3;21.7;32.7;2.6;4.5;10;17.1;26.9
;;;;;;;;;;
24;3.9;6.7;14.3;23.3;35.4;2.8;4.9;10.9;18.8;29.6
;;;;;;;;;;
25;4.2;7.2;15.3;25.1;38.4;3.1;5.3;12;20.8;32.7
;;;;;;;;;;
26;4.5;7.7;16.4;27.2;41.9;3.4;5.8;13.2;22.9;36
;;;;;;;;;;
27;4.8;8.2;17.7;29.5;45.8;3.7;6.4;14.6;25.4;39.9
;;;;;;;;;;
28;5.2;8.8;19.1;32.2;50.4;4;7.1;16.3;28.2;44.1
;;;;;;;;;;
29;5.6;9.5;20.8;35.2;55.5;4.5;7.9;18.1;31.3;48.8
;;;;;;;;;;
30;6;10.3;22.7;38.8;61.5;5.1;8.9;20.3;34.8;54.1
;;;;;;;;;;
31;6.5;11.2;24.9;43;68.3;5.6;9.9;22.5;38.6;59.8
;;;;;;;;;;
32;7.1;12.2;27.5;47.8;76.1;6.3;11.1;25.1;42.9;66
;;;;;;;;;;
33;7.8;13.5;30.5;53.3;85;7.1;12.4;27.9;47.5;72.7
;;;;;;;;;;
34;8.6;14.9;34.1;59.8;95.1;8;13.9;31;52.6;80
;;;;;;;;;;
35;9.6;16.7;38.3;67.2;106.5;9;15.5;34.4;58.1;87.9
;;;;;;;;;;
36;10.7;18.8;43.2;75.8;119.3;9.9;17;38.1;64;96.3
;;;;;;;;;;
37;12.1;21.2;49;85.5;133.6;10.8;18.8;42.1;70.5;105.3
;;;;;;;;;;
38;13.7;24.1;55.6;96.6;149.5;12;20.9;46.7;77.7;115.2
;;;;;;;;;;
39;15.6;27.4;63.2;109.1;167;13.5;23.4;51.9;85.6;126
;;;;;;;;;;
40;17.8;31.3;71.9;123.1;186.1;15.1;26.2;57.6;94;137.4
;;;;;;;;;;
41;20.4;35.9;81.8;138.7;207;16.9;29.2;63.6;103;149.6
;;;;;;;;;;
42;23.5;41.1;93.1;156;229.7;18.8;32.5;70.2;112.6;162.5
;;;;;;;;;;
43;27;47.2;105.9;174.9;254.2;21;36.1;77.1;122.7;176.1
;;;;;;;;;;
44;31.1;54.2;120.2;195.6;280.5;23.3;39.9;84.4;133.4;190.5
;;;;;;;;;;
45;35.8;62.2;136.1;218;308.5;25.7;43.9;92.1;144.7;205.6
;;;;;;;;;;
46;41.3;71.3;153.6;242.1;338.2;28.5;48.4;100.4;156.9;221.7
;;;;;;;;;;
47;47.5;81.6;172.7;267.8;369.4;31.5;53;109.1;169.7;238.7
;;;;;;;;;;
48;54.4;93.1;193.3;295.1;401.8;34.5;57.8;118.3;183.4;256.6
;;;;;;;;;;
49;62.5;105.9;215.5;324;435.3;37.5;62.8;128.2;198;275.8
;;;;;;;;;;
50;71.7;120.1;239.3;354.5;470;40.7;68.2;139;213.9;296.4
;;;;;;;;;;
51;81.2;135;264.1;385.9;;44.6;74.5;151.2;231.5;
;;;;;;;;;;
52;91.7;151.2;290.6;418.6;;48.8;81.5;164.7;250.6;
;;;;;;;;;;
53;103.4;169;318.8;452.7;;53.7;89.4;179.8;271.6;
;;;;;;;;;;
54;116.3;188.6;348.9;487.7;;59.2;98.4;196.5;294.7;
;;;;;;;;;;
55;130.8;210;380.8;524.1;;65.5;108.6;215.1;319.9;
;;;;;;;;;;
56;146.9;233.4;414.7;;;72.7;120.3;235.9;;
;;;;;;;;;;
57;164.8;259;450.3;;;81.1;133.5;258.9;;
;;;;;;;;;;
58;184.7;286.9;487.6;;;90.6;148.6;284.6;;
;;;;;;;;;;
59;206.8;317.5;526.4;;;101.7;165.9;313.2;;
;;;;;;;;;;
60;231.6;351;567.5;;;114.5;185.6;345;;
