____ ____ ;(____)_ ;;;;;(____)_ ;;;;
;;;;;;;;;;
;1;5;10;15;20;1;5;10;15;20
;;;;;;;;;;
0;29.5;6.6;3.6;2.6;2.1;27.4;6.2;3.4;2.5;2
;;;;;;;;;;
1;30.5;6.8;3.7;2.7;2.2;28.4;6.4;3.5;2.6;2.1
;;;;;;;;;;
2;31.5;7.1;3.9;2.8;2.3;29.4;6.6;3.6;2.7;2.2
;;;;;;;;;;
3;32.7;7.3;4;2.9;2.4;30.5;6.9;3.8;2.8;2.3
;;;;;;;;;;
4;33.9;7.6;4.2;3;2.5;31.7;7.2;3.9;2.9;2.4
;;;;;;;;;;
5;35.1;7.9;4.3;3.1;2.6;32.9;7.4;4.1;3;2.5
;;;;;;;;;;
6;36.4;8.2;4.5;3.3;2.7;34.2;7.7;4.3;3.1;2.6
;;;;;;;;;;
7;37.8;8.5;4.6;3.4;2.8;35.5;8.1;4.4;3.2;2.7
;;;;;;;;;;
8;39.2;8.8;4.8;3.5;2.9;37;8.4;4.6;3.4;2.8
;;;;;;;;;;
9;40.7;9.2;5;3.6;3;38.4;8.7;4.8;3.5;2.9
;;;;;;;;;;
10;42.2;9.5;5.2;3.8;3.1;40;9.1;5;3.7;3
;;;;;;;;;;
11;43.8;9.9;5.4;3.9;3.2;41.6;9.4;5.2;3.8;3.2
;;;;;;;;;;
12;45.5;10.2;5.6;4.1;3.4;43.3;9.8;5.4;4;3.3
;;;;;;;;;;
13;47.2;10.6;5.8;4.3;3.5;45;10.2;5.7;4.2;3.4
;;;;;;;;;;
14;49;11;6.1;4.4;3.7;46.9;10.7;5.9;4.3;3.6
;;;;;;;;;;
15;50.8;11.5;6.3;4.6;3.8;48.8;11.1;6.1;4.5;3.8
;;;;;;;;;;
16;52.8;11.9;6.6;4.8;4;50.8;11.6;6.4;4.7;3.9
;;;;;;;;;;
17;54.8;12.4;6.8;5;4.1;52.9;12.1;6.7;4.9;4.1
;;;;;;;;;;
18;56.8;12.9;7.1;5.2;4.3;55.1;12.6;7;5.2;4.3
;;;;;;;;;;
19;58.7;13.3;7.4;5.4;4.5;57.3;13.1;7.3;5.4;4.5
;;;;;;;;;;
20;60.6;13.8;7.6;5.6;4.6;59.5;13.6;7.6;5.6;4.7
;;;;;;;;;;
21;62.5;14.2;7.9;5.8;4.8;61.9;14.2;7.9;5.8;4.9
;;;;;;;;;;
22;64.5;14.7;8.1;6;5;64.3;14.7;8.2;6.1;5.1
;;;;;;;;;;
23;66.6;15.2;8.4;6.2;5.2;66.9;15.3;8.6;6.4;5.3
;;;;;;;;;;
