____ ____ ;(____)_ ;;;;;(____)_ ;;;;
;;;;;;;;;;
;1;5;10;15;20;1;5;10;15;20
;;;;;;;;;;
0;34;7.7;4.3;3.1;2.6;31.7;7.3;4;3;2.5
;;;;;;;;;;
1;35.3;8;4.4;3.3;2.7;33;7.5;4.2;3.1;2.6
;;;;;;;;;;
2;36.7;8.4;4.6;3.4;2.8;34.3;7.9;4.4;3.2;2.7
;;;;;;;;;;
3;38.2;8.7;4.8;3.6;3;35.7;8.2;4.6;3.4;2.8
;;;;;;;;;;
4;39.7;9.1;5;3.7;3.1;37.3;8.6;4.8;3.5;3
;;;;;;;;;;
5;41.4;9.5;5.3;3.9;3.2;38.9;9;5;3.7;3.1
;;;;;;;;;;
6;43.2;9.9;5.5;4.1;3.4;40.6;9.4;5.2;3.9;3.2
;;;;;;;;;;
7;45;10.3;5.7;4.2;3.5;42.5;9.8;5.5;4.1;3.4
;;;;;;;;;;
8;47;10.8;6;4.4;3.7;44.4;10.2;5.7;4.3;3.6
;;;;;;;;;;
9;49;11.2;6.3;4.6;3.9;46.4;10.7;6;4.5;3.8
;;;;;;;;;;
10;51.1;11.8;6.5;4.9;4.1;48.5;11.2;6.3;4.7;4
;;;;;;;;;;
11;53.4;12.3;6.8;5.1;4.3;50.8;11.8;6.6;4.9;4.1
;;;;;;;;;;
12;55.8;12.8;7.2;5.3;4.5;53.2;12.3;6.9;5.2;4.4
;;;;;;;;;;
13;58.3;13.4;7.5;5.6;4.7;55.7;12.9;7.3;5.4;4.6
;;;;;;;;;;
14;60.9;14;7.9;5.9;4.9;58.3;13.5;7.6;5.7;4.8
;;;;;;;;;;
15;63.6;14.7;8.2;6.2;5.2;61.1;14.2;8;6;5.1
;;;;;;;;;;
16;66.5;15.4;8.6;6.5;5.5;64;14.9;8.4;6.3;5.4
;;;;;;;;;;
17;69.5;16.1;9.1;6.8;5.8;67.1;15.7;8.9;6.7;5.7
;;;;;;;;;;
18;72.6;16.9;9.5;7.2;6.1;70.4;16.5;9.3;7;6
;;;;;;;;;;
19;75.7;17.6;10;7.5;6.3;73.7;17.3;9.8;7.4;6.3
;;;;;;;;;;
20;78.8;18.4;10.4;7.8;6.7;77.2;18.1;10.3;7.8;6.7
;;;;;;;;;;
21;82.2;19.2;10.9;8.2;7;80.9;19;10.8;8.2;7
;;;;;;;;;;
22;85.6;20.1;11.4;8.6;7.3;84.8;20;11.4;8.6;7.4
;;;;;;;;;;
23;89.3;20.9;11.9;9;7.7;88.9;21;12;9.1;7.8
;;;;;;;;;;
24;93.1;21.9;12.5;9.5;8.1;93.3;22.1;12.6;9.6;8.3
;;;;;;;;;;
25;97.2;22.9;13.1;9.9;8.5;98;23.2;13.3;10.2;8.8
;;;;;;;;;;
26;101.6;24;13.7;10.4;9;103;24.4;14.1;10.8;9.3
;;;;;;;;;;
27;106.2;25.1;14.4;11;9.5;108.3;25.8;14.8;11.4;9.9
;;;;;;;;;;
28;111.1;26.3;15.1;11.6;10;113.9;27.2;15.7;12.1;10.5
;;;;;;;;;;
29;116.4;27.7;15.9;12.2;10.6;119.9;28.7;16.6;12.8;11.2
;;;;;;;;;;
30;122;29;16.8;12.9;11.2;126.4;30.3;17.6;13.6;11.9
;;;;;;;;;;
31;128;30.5;17.7;13.6;11.9;133.2;32;18.6;14.5;12.7
;;;;;;;;;;
32;134.3;32.1;18.6;14.4;12.7;140.5;33.9;19.8;15.4;13.6
;;;;;;;;;;
33;141.1;33.8;19.7;15.3;13.5;148.3;35.9;21;16.4;14.6
;;;;;;;;;;
34;148.3;35.7;20.8;16.3;14.5;156.7;38;22.3;17.5;15.7
;;;;;;;;;;
35;156;37.7;22.1;17.3;15.5;165.7;40.3;23.8;18.8;16.8
;;;;;;;;;;
36;164.2;39.8;23.4;18.4;16.6;175.3;42.8;25.3;20.1;18.1
;;;;;;;;;;
37;173;42.1;24.8;19.7;17.9;185.6;45.5;27;21.5;19.5
;;;;;;;;;;
38;182.5;44.5;26.4;21.1;19.3;196.7;48.4;28.9;23.1;21.1
;;;;;;;;;;
39;192.6;47.2;28.2;22.6;20.9;208.6;51.5;30.9;24.9;22.9
;;;;;;;;;;
40;203.5;50.1;30.1;24.4;22.7;221.5;55;33.2;26.9;24.9
;;;;;;;;;;
41;215.3;53.3;32.2;26.3;;235.4;58.7;35.6;29.1;
;;;;;;;;;;
42;228;56.7;34.5;28.4;;250.5;62.8;38.4;31.5;
;;;;;;;;;;
43;241.8;60.5;37.1;30.9;;266.8;67.3;41.3;34.2;
;;;;;;;;;;
44;256.7;64.7;40;33.7;;284.6;72.2;44.7;37.3;
;;;;;;;;;;
45;272.9;69.2;43.3;36.9;;304;77.6;48.4;40.7;
;;;;;;;;;;
46;290.6;74.3;;;;325.2;83.6;;;
;;;;;;;;;;
47;310;80;;;;348.4;90.2;;;
;;;;;;;;;;
48;331.2;86.2;;;;373.9;97.6;;;
;;;;;;;;;;
49;354.6;93.3;;;;402;105.8;;;
;;;;;;;;;;
50;380.4;101.2;;;;433.2;115.1;;;
;;;;;;;;;;
51;409;;;;;467.9;;;;
;;;;;;;;;;
52;440.9;;;;;506.6;;;;
;;;;;;;;;;
53;476.8;;;;;550.1;;;;
;;;;;;;;;;
54;517.3;;;;;599.2;;;;
;;;;;;;;;;
55;563.4;;;;;655.1;;;;
