个人寿险投/被保险人职业代码表（2010）,,,,,,
大分类,中分类,小分类,细类（职业）,职业内容,职业风险等级,住院险风险等级
"第一大类1国家机关、党群组织、企业事业单位负责人",101中国共产党中央委员会和地方各级党组织负责人,10100中国共产党中央委员会和地方各级党组织负责人,1010001中国共产党中央委员会和地方各级党组织负责人,中国共产党中央委员会和地方各级党组织负责人,1,1
,102国家机关及其工作机构负责人,10201国家权力机关及其工作机构负责人,1020101国家权力机关及其工作机构负责人,国家权力机关及其工作机构负责人,1,1
,,10202人民政协及其工作机构负责人,1020201人民政协及其工作机构负责人,人民政协及其工作机构负责人,1,1
,,10203人民法院负责人,1020301人民法院负责人,人民法院负责人,1,1
,,10204人民检察院负责人,1020401人民检察院负责人,人民检察院负责人,1,1
,,10205国家行政机关及其工作机构负责人,1020501国家行政机关及其工作机构负责人,国家行政机关及其工作机构负责人,1,1
,,10299其他国家机关及其工作机构负责人,1029901其他国家机关及其工作机构负责人,其他国家机关及其工作机构负责人,1,1
,103民主党派和社会团体及其工作机构负责人,10301民主党派负责人,1030101民主党派负责人,民主党派负责人,1,1
,,10302工会、共青团、妇联等人民团体及其工作机构负责人,1030201工会负责人,工会负责人,1,1
,,,1030202中国共产主义青年团负责人,中国共产主义青年团负责人,1,1
,,,1030203妇女联合会负责人,妇女联合会负责人,1,1
,,,1030299其他人民团体及其工作机构负责人,其他人民团体及其工作机构负责人,1,1
,,10303群众自治组织负责人,1030301群众自治组织负责人,群众自治组织负责人,1,1
,,10399其他社会团体及其工作机构负责人,1039901其他社会团体及其工作机构负责人,其他社会团体及其工作机构负责人,1,1
,104事业单位负责人,10401教育教学单位负责人,1040101高等学校校长,高等学校校长,1,1
,,,1040102中等职业教育学校校长,中等职业教育学校校长,1,1
,,,1040103中小学校校长,中小学校校长,1,1
,,,1040199其他教育教学单位负责人,其他教育教学单位负责人,1,1
"第一大类1国家机关、党群组织、企业事业单位负责人",104事业单位负责人,10402卫生单位负责人,1040201卫生单位负责人,"卫生单位负责人",1,1
,,10403科研单位负责人,1040301科研单位负责人,"科研单位负责人",1,1
,,10499其他事业单位负责人,1049901其他事业单位负责人,"其他事业单位负责人",1,1
,105企业负责人,10501企业负责人,1050101企业董事,"企业董事",1,1
,,,1050102企业经理,"企业经理",1,1
,,,1050103企业职能部门经理或主管,"企业职能部门经理或主管",1,1
,,,"1050104工厂、企业负责人",工厂企业负责人,1,1
,,,"1050105出版商、书店、文具店负责人",出版商、书店、文具店负责人,1,1
"第二大类2专业技术人员",201科学研究人员,20101哲学研究人员,2010101哲学研究人员,"哲学研究人员",1,1
,,20102经济学研究人员,2010201经济学研究人员,"经济学研究人员",1,1
,,20103法学研究人员,2010301法学研究人员,"法学研究人员",1,1
