生命人寿职业代码（第三版）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
行业,,,,,,职业,,,,,代码,,意外险,,,寿险,,豁免
一般职业01,机关团体公司011,,,,内勤人员,,,,,,11001,,1,,,标准,,1
,,,,,外勤人员,,,,,,11002,,2,,,标准,,1
,,,,,企、事业单位负责人,,,,,,11003,,1,,,标准,,1
,,,,,私营企业主(不亲自作业),,,,,,11004,,1,,,标准,,1
,,,,,企、事业单位部门经理\主管(不亲自作业),,,,,,11005,,1,,,标准,,1
,,,,,村委会、居委会人员,,,,,,11006,,2,,,标准,,1
,,,,,工商、税务、城管人员,,,,,,11007,,3,,,标准,,1
农牧业02,农业021,,,,农场经营者(不亲自作业),,,,,,21001,,1,,,标准,,1
,,,,,农民,,,,,,21002,,2,,,标准,,1
,,,,,农业雇工,,,,,,21003,,3,,,标准,,1
,,,,,果农,,,,,,21004,,3,,,标准,,1
,,,,,苗圃、花圃栽培人员,,,,,,21005,,2,,,标准,,1
,,,,,饲养家禽家畜人员,,,,,,21006,,2,,,标准,,1
,,,,,农业技师,,,,,,21007,,2,,,标准,,1
,,,,,农业机械的操作或维修人员,,,,,,21008,,3,,,标准,,1
,,,,,农具商,,,,,,21009,,2,,,标准,,1
,,,,,昆虫饲养人员,,,,,,21010,,3,,,标准,,1
,,,,,茶农、桑农,,,,,,21011,,3,,,标准,,1
,,,,,农业实验人员,,,,,,21012,,2,,,标准,,1
,,,,,农情测报人员,,,,,,21013,,2,,,标准,,1
,,,,,天然橡胶、剑麻种植工人,,,,,,21014,,2,,,标准,,1
,,,,,割胶工人,,,,,,21015,,3,,,标准,,1
,,,,,采茶工人,,,,,,21016,,3,,,标准,,1
,,,,,茶叶、蔬菜加工人员,,,,,,21017,,2,,,标准,,1
,,,,,竹、藤、麻、棕、草制品加工人员,,,,,,21018,,3,,,标准,,1
,,,,,特种植物原料加工人员,,,,,,21019,,3,,,标准,,1
,,,,,棉花加工工人,,,,,,21020,,4,,,标准,,1
,,,,,果类产品加工工人,,,,,,21021,,3,,,标准,,1
,,,,,山核桃采摘人员,,,,,,21022,,5,,,25,,1.5
,,,,,沼气生产管理人员,,,,,,21023,,2,,,标准,,1
,,,,,沼气工程施工人员,,,,,,21024,,5,,,25,,1.5
,,,,,沼气装备安装、调试、检修人员,,,,,,21025,,4,,,标准,,1
,,,,,农用太阳能设施人员,,,,,,21026,,4,,,标准,,1
,,,,,农作物种子加工人员,,,,,,21027,,2,,,标准,,1
,,,,,中草药种植人员,,,,,,21028,,2,,,标准,,1
,,,,,中草药采摘人员,,,,,,21029,,4,,,标准,,1
,牧业022,,,,畜牧经营者(不亲自作业),,,,,,22001,,1,,,标准,,1
,,,,,畜牧工作人员,,,,,,22002,,3,,,标准,,1
,,,,,兽医,,,,,,22003,,3,,,标准,,1
,,,,,家畜饲养人员,,,,,,22004,,3,,,标准,,1
,,,,,家禽饲养人员,,,,,,22005,,3,,,标准,,1
,,,,,牧草培育、加工人员,,,,,,22006,,3,,,标准,,1
,,,,,宠物训导师,,,,,,22007,,3,,,标准,,1
,,,,,特种养殖（蛇、鳄鱼、蝎等）,,,,,,22008,,6,,,50,,1.5
,,,,,昆虫（蜜蜂）饲养人员,,,,,,22009,,3,,,标准,,1
,,,,,观赏动物饲养人员,,,,,,22010,,3,,,标准,,1
,,,,,实验动物饲养人员,,,,,,22011,,2,,,标准,,1
,,,,,动物检疫、检验人员,,,,,,22012,,2,,,标准,,1
,,,,,训犬人员,,,,,,22013,,4,,,标准,,1
渔业03,内陆渔业031,,,,渔场经营者(不亲自作业),,,,,,31001,,1,,,标准,,1
,,,,,渔场经营者(亲自作业),,,,,,31002,,3,,,标准,,1
,,,,,养殖工人(内陆),,,,,,31003,,3,,,标准,,1
,,,,,养殖工人(沿海),,,,,,31004,,5,,,标准,,1
,,,,,水族馆经营者,,,,,,31005,,2,,,标准,,1
,,,,,捕鱼人(内陆),,,,,,31006,,4,,,标准,,1
,,,,,捕鱼人(沿海),,,,,,31007,,拒保,,,50,,拒保
,,,,,水产试验人员(室内),,,,,,31008,,1,,,标准,,1
,海上渔业032,,,,远洋渔船船员,,,,,,32001,,拒保,,,50,,拒保
,,,,,近海渔船船员,,,,,,32002,,拒保,,,50,,拒保
,水产公司033,,,,经理(不亲自作业),,,,,,33001,,1,,,标准,,1
,,,,,营业员,,,,,,33002,,2,,,标准,,1
,,,,,搬运人员,,,,,,33003,,5,,,标准,,1
木材、森林业04,森林砍伐业041,,,,领班、监工,,,,,,41001,,4,,,25,,1.5
,,,,,伐木工人,,,,,,41002,,6,,,25,,2
,,,,,锯木工人,,,,,,41003,,6,,,25,,2
,,,,,运材车辆司机及押运人员,,,,,,41004,,6,,,25,,2
,,,,,起重机操作人员,,,,,,41005,,6,,,25,,2
,,,,,装运工人、挂钩工人,,,,,,41006,,6,,,25,,2
,,,,,相关行政内勤管理人员,,,,,,41007,,2,,,标准,,1
木材加工业05,木材加工业051,,,,领班,,,,,,51001,,2,,,标准,,1
,,,,,分级员,,,,,,51002,,3,,,标准,,1
,,,,,检查员,,,,,,51003,,3,,,标准,,1
,,,,,标记员,,,,,,51004,,3,,,标准,,1
,,,,,磅秤员,,,,,,51005,,4,,,标准,,1
,,,,,锯木工人,,,,,,51006,,6,,,50,,2
,,,,,防腐剂工人,,,,,,51007,,6,,,50,,2
,,,,,木材储藏槽工人,,,,,,51008,,5,,,25,,1
,,,,,木材搬运工人,,,,,,51009,,5,,,25,,1
,,,,,吊车操作人员,,,,,,51010,,3,,,25,,1
,,,,,胶合板制造工人,,,,,,51011,,4,,,25,,1
,,,,,仓库管理员,,,,,,51012,,5,,,标准,,1
,,,,,木材供应站管理人员,,,,,,51013,,2,,,标准,,1
,,,,,木材供应站营业员,,,,,,51014,,3,,,标准,,1
,,,,,木材干燥工人,,,,,,51015,,4,,,标准,,1
,,,,,纤维板制造工人,,,,,,51016,,4,,,25,,1
,,,,,刨花板制造工人,,,,,,51017,,4,,,25,,1
,,,,,人造板制胶工人,,,,,,51018,,3,,,标准,,1
,,,,,装饰层压板工人,,,,,,51019,,4,,,25,,1
,,,,,人造板饰面工人,,,,,,51020,,4,,,25,,1
,造林业052,,,,领班,,,,,,52001,,3,,,标准,,1
,,,,,山地造林工人,,,,,,52002,,4,,,标准,,1
,,,,,山地管理人员,,,,,,52003,,4,,,标准,,1
,,,,,森林防火人员,,,,,,52004,,拒保,,,25,,1.5
,,,,,平地育苗工人,,,,,,52005,,2,,,标准,,1
,,,,,实验室育苗栽培人员,,,,,,52006,,1,,,标准,,1
矿业、开采业06,坑道内作业061,,,,,矿工,,,,,61001,,拒保,,,75,,拒保
,坑道外作业062,,,,经营者(不到现场),,,,,,62001,,1,,,标准,,1
,,,,,经营者(现场监督者),,,,,,62002,,4,,,标准,,1
,,,,,经理人员,,,,,,62003,,2,,,标准,,1
,,,,,经理人员（现场监督员）,,,,,,62004,,4,,,标准,,1
,,,,,行政内勤人员,,,,,,62005,,2,,,标准,,1
,,,,,工程师、技师、领班,,,,,,62006,,5,,,25,,1
,,,,,工人,,,,,,62007,,6,,,25,,2
,,,,,工矿安全人员,,,,,,62008,,5,,,标准,,1
,海上作业063,,,,,所有作业人员（含潜水人员）,,,,,63001,,拒保,,,50,,拒保
,采矿石业064,,,,采石业工人,,,,,,64001,,5,,,25,,1.5
,,,,,采矿业工人,,,,,,64002,,5,,,25,,1.5
,,,,,采砂业工人,,,,,,64003,,5,,,25,,1.5
