新版六类职业分类表,,,,,,,,,,对应类别,,,
行业,,,,,,工种名称,,,工种代码,寿险、重疾及意外险,,,医疗保险
机关,,,机关团体公司 行号,,内勤人员,,,,001001,1,,,标准
,,,,,外勤人员,,,,001002,2,,,标准
,,,,,企\事业单位负责人,,,,001003,1,,,标准
,,,,,私营企业主(不亲自作业),,,,001004,1,,,标准
,,,,,"企\事业单位部门经理\主管(不亲自作业)",,,,001005,1,,,标准
,,,,,村委会、居委会人员,,,,001006,2,,,标准
,,,,,工商\税务\城管人员,,,,001007,3,,,标准
农\副\牧\渔 业,,,农副业,,农场经营者(不亲自作业),,,,101001,1,,,标准
,,,,,农夫,,,,101002,2,,,标准
,,,,,长短工,,,,101003,3,,,标准
,,,,,果农,,,,101004,3,,,标准
,,,,,苗圃栽培人员,,,,101005,2,,,标准
,,,,,花圃栽培人员,,,,101006,2,,,标准
,,,,,饲养家禽家畜人员,,,,101007,2,,,标准
,,,,,农业技术人员,,,,101008,2,,,标准
,,,,,农业机械操作\修理人员,,,,101009,3,,,标准
,,,,,农具商,,,,101010,2,,,标准
,,,,,农业试验人员,,,,101011,2,,,标准
,,,,,天然橡胶\剑麻种植人员,,,,101012,2,,,标准
,,,,,割胶工人,,,,101013,3,,,标准
,,,,,采茶工人,,,,101014,2,,,标准
,,,,,茶叶\蔬菜加工人员,,,,101015,2,,,标准
,,,,,竹\藤\麻\棕\草制品原料加工人,,,,101016,3,,,标准
,,,,,特种植物原料加工人员,,,,101017,3,,,标准
,,,,,棉花加工人员,,,,101018,4,,,1.25
,,,,,特种养殖(蜂\蛇\鳄鱼)人员,,,,101019,4,,,1.5
,,,,,山核桃采摘人员,,,,101020,5,,,1.5
,,,,,沼气生产管理人员,,,,101021,2,,,标准
,,,,,沼气工程施工人员,,,,101022,5,,,1.5
,,,,,沼气设备安装\调试\检修人员,,,,101023,4,,,1.25
,,,,,农用太阳能设施人员,,,,101024,4,,,1.25
,,,牧业,,畜牧场经营者(不亲自作业),,,,102001,1,,,标准
,,,,,畜牧工作人员,,,,102002,3,,,标准
,,,,,实验动物饲养人员,,,,102003,2,,,标准
,,,,,兽医,,,,102004,2,,,标准
,,,,,动物检疫\检验\化验人员,,,,102005,2,,,标准
,,,,,牧草培育\加工人员,,,,102006,3,,,标准
,,,内陆渔业,,渔场经营者(不亲自作业),,,,201001,1,,,标准
,,,,,渔场经营者(亲自作业),,,,201002,3,,,标准
,,,,,养殖工人(内陆),,,,201003,3,,,标准
,,,,,养殖工人(沿海),,,,201004,4,,,标准
,,,,,水族馆经营者,,,,201005,2,,,标准
,,,,,捕鱼人(内陆),,,,201006,4,,,1.5
,,,,,水产实验人员(室内),,,,201008,1,,,标准
,,,,,水产实验人员(室外),,,,201013,3,,,标准
,,,,,沿海作业渔民,,,,201009,6,,,拒保
,,,,,水（海）产品加工人员,,,,201010,3,,,标准
,,,,,水生动植物采集人员,,,,201011,3,,,标准
,,,,,渔网具装配人员,,,,201012,2,,,标准
,,,海上渔业,,*远洋渔船船员,,,,202001,6,,,拒保
,,,,,*近海渔船船员,,,,202002,6,,,拒保
森林木材业,,,森林砍伐业,,领班,,,,301001,5,,,1.5
,,,,,监工,,,,301002,5,,,1.5
,,,,,伐木工人,,,,301003,6,,,2
,,,,,锯木工人,,,,301004,6,,,2
,,,,,运材人员,,,,301005,6,,,2
,,,,,起重机之操作人,,,,301006,6,,,2
,,,,,装运工人,,,,301007,6,,,2
,,,木材加工,,木材工厂现场之职员,,,,302001,4,,,标准
,,,,,领班,,,,302002,3,,,标准
,,,,,分级员,,,,302003,3,,,标准
,,,,,检查员,,,,302004,3,,,标准
,,,,,标记员,,,,302005,3,,,标准
