泰康在线职业分类表,,,,,
,,,,,
大分类,中分类,,小分类,,职业等级
001一般职业,00101,国家机关、党政团体,00101001,"国家机关、党政团体单位负责人
（不从事风险工作）",1
,,,00101002,"国家机关、党政团体单位职员
（内勤）",1
,,,00101003,"国家机关、党政团体单位职员
（外勤）",2
,,,00101004,"国家机关、党政团体单位职员
（司机或维修人员）",3
,00102,事业单位,00102001,"事业单位负责人
（不从事风险工作）",1
,,,00102002,"事业单位职员
（内勤）",1
,,,00102003,"事业单位职员
（外勤）",2
,,,00102004,"事业单位职员
（司机或维修人员）",3
,,,00102005,工商\税务\城管人员,3
,00103,企业单位,00103001,"企业单位负责人
（不从事风险工作）",1
,,,00103002,"企业单位职员
（内勤）",1
,,,00103003,"企业单位职员
（外勤）",2
,,,00103004,"企业单位职员
（司机或维修人员）",3
,00104,民间组织和社会团体,00104001,民间组织和社会团体负责人,1
,,,00104002,"民间组织和社会团体职员
（内勤）",1
,,,00104003,"民间组织和社会团体职员
（外勤）",2
,,,00104004,村委会、居委会人员,2
002农牧渔业,00201,农业生产人员,00201001,农作物种植者（不亲自作业）,1
,,,00201002,啤酒花生产工,2
,,,00201003,作物种子繁育工,2
,,,00201004,农作物病虫草害防治工,2
,,,00201005,农场经营者(不亲自作业),1
,,,00201006,蔬菜园艺工,2
,,,00201007,花卉园艺工,2
,,,00201008,果、茶、桑园艺工,2
,,,00201009,菌类园艺工,2
,,,00201010,天然橡胶\剑麻生产人员,2
,,,00201011,中药材种植员,2
,,,00201012,中药材养殖员,2
,,,00201013,中药材生产管理员,2
,,,00201014,大田作物生产人员,2
,,,00201018,苗圃栽培人员,2
,,,00201019,花圃栽培人员,2
,,,00201020,热带作物生产人员,3
,,,00201021,昆虫（蜜蜂）饲养人员,3
,,,00201025,实验室饲养人员,2
,00202,农业技术人员,00202001,农业科学研究人员,2
,,,00202002,土壤肥料技术人员,2
,,,00202003,作物遗传育种栽培技术人员,3
,,,00202004,农业技术指导人员,2
,,,00202005,农业实验人员,2
,,,00202006,农情测报员,1
,,,00202007,粮油管理员,1
,,,00202008,农艺工,2
,,,00202009,园艺技术人员,2
,,,00202010,糖厂技工,3
,,,00202011,植物保护技术人员,2
,00203,农林专用机械操作人员,00203001,联合收割机驾驶员,3
,,,00203003,农业机械操作或修理人员,3
,,,00203006,沼气生产管理人员,2
,,,00203009,生物质能设备人员,3
,,,00204002,果类产品加工工,3
,,,00204003,茶叶\蔬菜加工人员,2
,,,00204004,竹\藤\麻\棕\草制品加工人员,2
,,,00204005,特种植物原料加工人员,3
,,,00204006,农作物种子加工,2
,,,00204007,农副林特产品加工人员,2
,,,00204009,蜂产品加工,3
,00205,畜牧业饲养人员,00205001,饲养家禽家畜人员,2
,,,00205002,家畜繁殖工,3
,,,00205003,畜牧场经营者(不亲自作业),1
,,,00205004,畜牧工作人员,3
,,,00205006,家禽繁殖工,2
,,,00205009,动物养殖人员,3
,00206,畜牧业技术人员,00206001,畜牧技术人员,2
,,,00206002,兽医,3
,,,00206003,兽药技术人员,2
,,,00206004,动物疫病防治员,3
,,,00206005,兽医化验员,2
,,,00206006,动物检疫\检验\化验员,2
,,,00206007,中兽医员,3
,00207,草业生产服务人员,00207001,草业技术人员,2
,,,00207002,草地监护员,2
,,,00207003,牧草培育\加工人员,3
,,,00207004,草坪建植工,2
,,,00207005,草业生产人员,3
,00208,渔业养殖人员,00208001,水生动物苗种繁育工,3
,,,00208002,水生植物苗种培育工,3
,,,00208003,水生动物饲养工,3
,,,00208004,水生植物栽培工,3
,,,00208005,珍珠养殖工(淡水),3
,,,00208006,珍珠养殖工(海水),3
,,,00208007,生物饵料培养工,3
,,,00208009,渔场经营者(不亲自作业),1
,,,00208010,渔场经营者(亲自作业),3
,,,00208011,热带鱼养殖者、水族馆经营者,3
,,,00208015,养殖工人（内陆）,3
,,,00208016,水族馆经营者（不亲自作业）,1
,,,00208017,水族馆经营者,2
